| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| misa77 0.5.0 -2      |   15.8 MB/s |  11781 MB/s |     1886366 |  28.46 | silesia/reymont |
| misa77 0.5.0 safe -0 |    149 MB/s |  13713 MB/s |     2514389 |  37.94 | silesia/reymont |
| misa77 0.5.0 safe -1 |    146 MB/s |  12519 MB/s |     2368486 |  35.74 | silesia/reymont |
| lz4hc 1.10.0 -9      |   24.8 MB/s |   4555 MB/s |     2111095 |  31.85 | silesia/reymont |
| lz4hc 1.10.0 -12     |   13.7 MB/s |   4583 MB/s |     2063052 |  31.13 | silesia/reymont |
| snappy 1.2.2         |    714 MB/s |   2382 MB/s |     3204491 |  48.35 | silesia/reymont |
| zxc 0.13.1 -3        |    200 MB/s |   8647 MB/s |     2703538 |  40.79 | silesia/reymont |
| zxc 0.13.1 -4        |    147 MB/s |   9022 MB/s |     2596022 |  39.17 | silesia/reymont |
| zxc 0.13.1 -5        |   71.0 MB/s |   9153 MB/s |     2380537 |  35.92 | silesia/reymont |
| zxc 0.13.1 -7        |   7.28 MB/s |   5735 MB/s |     1832824 |  27.66 | silesia/reymont |
| zstd 1.5.7 -1        |    491 MB/s |   1343 MB/s |     2149170 |  32.43 | silesia/reymont |
| lzav 5.11 -1         |    542 MB/s |   3830 MB/s |     2457445 |  37.08 | silesia/reymont |
| lzav 5.11 -2         |    185 MB/s |   4373 MB/s |     2091494 |  31.56 | silesia/reymont |
| lz4 1.10.0           |    959 MB/s |   5203 MB/s |     5256666 |  52.12 | silesia/osdb    |
| misa77 0.5.0 -0      |    117 MB/s |  11428 MB/s |     4105485 |  40.71 | silesia/osdb    |
| misa77 0.5.0 -1      |    124 MB/s |  11758 MB/s |     4065267 |  40.31 | silesia/osdb    |
| misa77 0.5.0 -2      |   15.1 MB/s |  13197 MB/s |     3646510 |  36.16 | silesia/osdb    |
| misa77 0.5.0 safe -0 |    117 MB/s |  11358 MB/s |     4105485 |  40.71 | silesia/osdb    |
| misa77 0.5.0 safe -1 |    124 MB/s |  11695 MB/s |     4065267 |  40.31 | silesia/osdb    |
| lz4hc 1.10.0 -9      |   83.8 MB/s |   5551 MB/s |     3977505 |  39.44 | silesia/osdb    |
| lz4hc 1.10.0 -12     |   40.6 MB/s |   5683 MB/s |     3946233 |  39.13 | silesia/osdb    |
| snappy 1.2.2         |   1294 MB/s |   4528 MB/s |     5324851 |  52.80 | silesia/osdb    |
| zxc 0.13.1 -3        |    374 MB/s |  16087 MB/s |     6598704 |  65.43 | silesia/osdb    |
| zxc 0.13.1 -4        |    207 MB/s |  10370 MB/s |     4567995 |  45.29 | silesia/osdb    |
| zxc 0.13.1 -5        |    131 MB/s |   9342 MB/s |     4207554 |  41.72 | silesia/osdb    |
| zxc 0.13.1 -7        |   18.3 MB/s |   5095 MB/s |     3565281 |  35.35 | silesia/osdb    |
| zstd 1.5.7 -1        |    767 MB/s |   1780 MB/s |     3729819 |  36.98 | silesia/osdb    |
| lzav 5.11 -1         |    852 MB/s |   5703 MB/s |     4023475 |  39.89 | silesia/osdb    |
| lzav 5.11 -2         |    212 MB/s |   5955 MB/s |     3978122 |  39.44 | silesia/osdb    |
